filename,species,scientific_name,location,country,length,quality,date,id,url
xeno_audio/centropus_sinensis\1004362_Greater_Coucal_Thailand_A.wav,Greater Coucal,Centropus sinensis,eBird hotspot: Benjakiti Park,Thailand,0:28,A,2025-06-04,1004362,https://xeno-canto.org/1004362
xeno_audio/centropus_sinensis\1004361_Greater_Coucal_Thailand_A.wav,Greater Coucal,Centropus sinensis,eBird hotspot: Benjakiti Park,Thailand,1:10,A,2025-06-04,1004361,https://xeno-canto.org/1004361
xeno_audio/centropus_sinensis\862888_Greater_Coucal_Thailand_A.wav,Greater Coucal,Centropus sinensis,"Lai Ngao (near  Muang Yai), Wiang Kaen District, Chiang Rai",Thailand,1:10,A,2023-09-20,862888,https://xeno-canto.org/862888
xeno_audio/centropus_sinensis\845377_Greater_Coucal_Thailand_A.wav,Greater Coucal,Centropus sinensis,"Mae Win, Mae Wang District, Chiang Mai",Thailand,0:35,A,2023-11-09,845377,https://xeno-canto.org/845377
xeno_audio/centropus_sinensis\476073_Greater_Coucal_Thailand_A.wav,Greater Coucal,Centropus sinensis,"Kaeng Krachan National Park, Ban Krang, KM 15-18, Phetchaburi",Thailand,0:56,A,2019-05-19,476073,https://xeno-canto.org/476073
xeno_audio/centropus_sinensis\950414_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Krathum Rai (near  Bangkok), Nong Chok, Krung Thep Maha Nakhon",Thailand,0:06,B,2024-08-04,950414,https://xeno-canto.org/950414
xeno_audio/centropus_sinensis\946360_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",Thailand,0:16,B,2024-11-06,946360,https://xeno-canto.org/946360
xeno_audio/centropus_sinensis\877529_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Department of Public Relations, Bangkok",Thailand,0:37,B,2024-02-23,877529,https://xeno-canto.org/877529
xeno_audio/centropus_sinensis\858902_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Song Phi Nong, Kaeng Krachan District, Phetchaburi",Thailand,0:51,B,2023-12-08,858902,https://xeno-canto.org/858902
xeno_audio/centropus_sinensis\835584_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,Kumphawapi Lake village SW road,Thailand,0:14,B,2017-07-21,835584,https://xeno-canto.org/835584
xeno_audio/centropus_sinensis\816863_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Kaeng Krachan National Park, Phetchaburi",Thailand,0:05,B,2023-07-03,816863,https://xeno-canto.org/816863
xeno_audio/centropus_sinensis\778392_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Nam Kham Nature Reserve, Chiang Saen District, Chiang Rai",Thailand,0:28,B,2023-02-04,778392,https://xeno-canto.org/778392
xeno_audio/centropus_sinensis\711947_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Pa Klok, Thalang District, Phuket",Thailand,0:16,B,2022-03-28,711947,https://xeno-canto.org/711947
xeno_audio/centropus_sinensis\676588_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Sabsadao Station, Thablan National Park",Thailand,0:17,B,2014-03-11,676588,https://xeno-canto.org/676588
xeno_audio/centropus_sinensis\598170_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Lampang, Mueang Lampang District, Lampang",Thailand,0:06,B,2020-01-29,598170,https://xeno-canto.org/598170
xeno_audio/centropus_sinensis\545984_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,Lat Krabang,Thailand,0:16,B,2020-04-15,545984,https://xeno-canto.org/545984
xeno_audio/centropus_sinensis\461220_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Sa Khu, Amphoe Thalang, Chang Wat Phuket",Thailand,0:10,B,2019-03-05,461220,https://xeno-canto.org/461220
xeno_audio/centropus_sinensis\415705_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,Kaengkrachan National Park,Thailand,0:03,B,2018-04-14,415705,https://xeno-canto.org/415705
xeno_audio/centropus_sinensis\364304_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Pun-Pun Organic Farm, Amphoe Mae Taeng, Chang Wat Chiang Mai",Thailand,0:09,B,2016-01-19,364304,https://xeno-canto.org/364304
